"Latitude","Longitude","Species","DBH"
47.6320729629,-122.065151588,"Cedar, Western Red (Thuja plicata)",13
47.6312834823,-122.064719488,"Hornbeam, European (Carpinus betulus)",7
47.6397917534,-122.065702766,"Maple, Red (Acer rubrum)",16
47.6381471916,-122.065528072,"Hornbeam, European (Carpinus betulus)",8
47.6311801714,-122.064693818,"Hornbeam, European (Carpinus betulus)",7
47.6319023823,-122.065091693,"Pine (Pinus species)",13
47.6380736824,-122.065466751,"Hornbeam, European (Carpinus betulus)",7
47.639896969,-122.065723444,"Maple, Red (Acer rubrum)",15
47.631838955,-122.065063885,"Katsura Tree (Cercidiphyllum japonicum)",4
47.6317843369,-122.064844507,"Hornbeam, European (Carpinus betulus)",6
47.638006419,-122.065404717,"Maple, Red (Acer rubrum)",18
47.6335865411,-122.064806478,"Hornbeam, European (Carpinus betulus)",8
47.6318429592,-122.064858768,"Hornbeam, European (Carpinus betulus)",6
47.6319563594,-122.064910819,"Hornbeam, European (Carpinus betulus)",4
47.6335250378,-122.064821452,"Hornbeam, European (Carpinus betulus)",6
47.6319044644,-122.064896559,"Hornbeam, European (Carpinus betulus)",6
47.632014501,-122.064952889,"Hornbeam, European (Carpinus betulus)",6
47.6334142036,-122.064686926,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6331773187,-122.064766073,"Sweetgum, Common (Liquidambar styraciflua)",10
47.6334915633,-122.064667674,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6340614272,-122.06467623,"Sweetgum, Common (Liquidambar styraciflua)",6
47.632074084,-122.064959306,"Maple, Red (Acer rubrum)",12
47.6345904437,-122.064701186,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6332618862,-122.064753951,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6336549313,-122.064654126,"Cherry, Kwanzan (Prunus shrubs)",2
47.6321379915,-122.064969289,"Maple, Red (Acer rubrum)",14
47.6341306177,-122.064677656,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6346601139,-122.064693343,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6322110286,-122.064979271,"Hornbeam, European (Carpinus betulus)",7
47.6339441876,-122.064664109,"Sweetgum, Common (Liquidambar styraciflua)",9
47.6333157019,-122.064727569,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6347297841,-122.064674804,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6341930812,-122.064688352,"Maple, Red (Acer rubrum)",15
47.6352131483,-122.064477293,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6322624428,-122.064987115,"Hornbeam, European (Carpinus betulus)",5
47.6339917561,-122.064676943,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6347720666,-122.064654839,"Maple, Red (Acer rubrum)",13
47.6349868421,-122.064574266,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6342714008,-122.064698334,"Maple, Red (Acer rubrum)",16
47.6348551901,-122.064639152,"Maple, Red (Acer rubrum)",11
47.6323273111,-122.064980697,"Hornbeam, European (Carpinus betulus)",5
47.6350675629,-122.064541466,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6343401105,-122.064713308,"Maple, Red (Acer rubrum)",15
47.6351338692,-122.064515797,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6323864132,-122.064988541,"Hornbeam, European (Carpinus betulus)",7
47.6349296648,-122.064602787,"Sweetgum, Common (Liquidambar styraciflua)",7
47.634411703,-122.064710456,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6344756077,-122.064710456,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6324445543,-122.064995671,"Hornbeam, European (Carpinus betulus)",6
47.6311793705,-122.064551449,"Hornbeam, European (Carpinus betulus)",7
47.6345299025,-122.064712595,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6325007734,-122.064992819,"Maple, Red (Acer rubrum)",16
47.6312389545,-122.06455644,"Hornbeam, European (Carpinus betulus)",7
47.6325569923,-122.064984262,"Maple, Red (Acer rubrum)",14
47.6326213797,-122.064973567,"Hornbeam, European (Carpinus betulus)",7
47.6312942138,-122.064582109,"Hornbeam, European (Carpinus betulus)",7
47.632673274,-122.064940054,"Hornbeam, European (Carpinus betulus)",6
47.6316565209,-122.064781047,"Maple, Red (Acer rubrum)",15
47.6317209095,-122.064817412,"Maple, Red (Acer rubrum)",15
47.6327362198,-122.064945045,"Hornbeam, European (Carpinus betulus)",7
47.632788114,-122.064924367,"Hornbeam, European (Carpinus betulus)",7
47.6329860802,-122.064855916,"Maple, Red (Acer rubrum)",10
47.6377504006,-122.065444178,"Maple, Red (Acer rubrum)",8
47.5714313321,-122.066574548,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5715054161,-122.066482566,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5714698173,-122.066522496,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5716718642,-122.066317141,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5715390906,-122.066439071,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5715708409,-122.066391297,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5716150987,-122.066345663,"Plum, Thundercloud Purple (Prunus cerasifera 'Thundercloud')",1
47.5900222544,-122.06649144,"Plum (Prunus species)",11
47.5901198759,-122.066519961,"Plum (Prunus species)",11
47.5903155992,-122.066613369,"Fir (Abies species)",11
