"Site ID","Latitude","Longitude","Species","DBH"
3621,47.5878850691,-122.03998021,"Hemlock, Western (Tsuga heterophylla)",30
3622,47.5879052675,-122.03985329,"Fir, Douglas (Pseudotsuga menziesii)",36
3623,47.5878711226,-122.039835464,"Fir, Douglas (Pseudotsuga menziesii)",16
3624,47.5879980838,-122.039797673,"Fir, Douglas (Pseudotsuga menziesii)",40
3625,47.5879095957,-122.040058645,"Fir, Douglas (Pseudotsuga menziesii)",40
3626,47.5879576871,-122.040054366,"Fir, Douglas (Pseudotsuga menziesii)",35
3627,47.5879836911,-122.040106335,"Fir, Douglas (Pseudotsuga menziesii)",20
3628,47.5879784011,-122.040180491,"Fir, Douglas (Pseudotsuga menziesii)",20
3629,47.5879759618,-122.040244034,"Fir, Douglas (Pseudotsuga menziesii)",23
3630,47.587928867,-122.040194038,"Fir, Douglas (Pseudotsuga menziesii)",24
3631,47.5878971267,-122.040175499,"Fir, Douglas (Pseudotsuga menziesii)",27
3632,47.5877239626,-122.039629396,"Fir, Douglas (Pseudotsuga menziesii)",29
3633,47.5878094518,-122.039632075,"Fir, Douglas (Pseudotsuga menziesii)",32
3634,47.5878321685,-122.039565223,"Fir, Douglas (Pseudotsuga menziesii)",33
3635,47.587952397,-122.039444719,"Fir, Douglas (Pseudotsuga menziesii)",36
3636,47.587958168,-122.039509606,"Fir, Douglas (Pseudotsuga menziesii)",38
3637,47.5879663435,-122.039545971,"Fir, Douglas (Pseudotsuga menziesii)",38
3638,47.5879201758,-122.03941905,"Fir, Douglas (Pseudotsuga menziesii)",40
3639,47.587907672,-122.039373416,"Fir, Douglas (Pseudotsuga menziesii)",36
3640,47.5878946873,-122.039308529,"Fir, Douglas (Pseudotsuga menziesii)",36
3641,47.5878634279,-122.039367711,"Fir, Douglas (Pseudotsuga menziesii)",40
3642,47.5877738705,-122.039443508,"Fir, Douglas (Pseudotsuga menziesii)",40
3643,47.5877166352,-122.039502302,"Fir, Douglas (Pseudotsuga menziesii)",38
3644,47.5876747955,-122.039540093,"Fir, Douglas (Pseudotsuga menziesii)",36
3645,47.5879158476,-122.039790542,"Fir, Douglas (Pseudotsuga menziesii)",20
3646,47.5879091148,-122.039737065,"Fir, Douglas (Pseudotsuga menziesii)",22
